user_id,night_plays
user_51,6
user_19,5
user_27,5
user_76,5
user_8,5
user_21,4
user_22,4
user_6,4
user_61,4
user_67,4
user_81,4
user_91,4
user_1,3
user_23,3
user_28,3
user_33,3
user_4,3
user_50,3
user_53,3
user_57,3
user_59,3
user_60,3
user_68,3
user_71,3
user_77,3
user_80,3
user_85,3
user_88,3
user_93,3
user_95,3
user_10,2
user_12,2
user_16,2
user_25,2
user_30,2
user_32,2
user_39,2
user_41,2
user_42,2
user_44,2
user_45,2
user_48,2
user_5,2
user_54,2
user_58,2
user_64,2
user_66,2
user_70,2
user_72,2
user_79,2
user_89,2
user_97,2
user_100,1
user_11,1
user_14,1
user_15,1
user_17,1
user_2,1
user_24,1
user_29,1
user_34,1
user_35,1
user_36,1
user_38,1
user_40,1
user_43,1
user_46,1
user_49,1
user_52,1
user_55,1
user_56,1
user_62,1
user_63,1
user_65,1
user_69,1
user_7,1
user_73,1
user_74,1
user_75,1
user_78,1
user_82,1
user_83,1
user_9,1
user_90,1
user_92,1
user_94,1
user_96,1
user_98,1
user_99,1
